,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
49,46,46,2015-01-28,,BRK,W,113,102,125.7,113.5,89.9,.317,.402,.605,56.3,76.3,4.5,6.3,,.537,10.5,31.6,.305,,.500,7.8,78.6,.172
50,47,47,2015-01-30,,POR,W,105,99,107.0,100.9,98.1,.262,.274,.560,47.7,65.0,12.2,7.0,,.542,12.2,15.9,.167,,.511,15.6,79.5,.115
51,48,48,2015-01-31,,PHI,W,91,85,102.5,95.7,88.8,.231,.359,.530,50.0,58.8,6.8,10.9,,.500,12.3,19.0,.167,,.469,13.8,78.3,.111
52,49,49,2015-02-02,@,NOP,L,100,115,111.3,128.0,89.9,.191,.247,.518,38.1,47.5,6.7,4.8,,.489,5.9,20.5,.146,,.552,11.9,57.5,.233
53,50,50,2015-02-04,,WAS,W,105,96,109.8,100.3,95.7,.338,.313,.571,52.9,63.2,7.3,3.3,,.544,13.2,20.0,.225,,.468,11.7,88.1,.312
54,51,51,2015-02-06,,GSW,W,124,116,123.0,115.0,100.8,.481,.351,.665,42.7,73.7,12.9,5.7,,.591,12.2,11.1,.429,,.515,11.3,64.2,.097
55,52,52,2015-02-08,@,MEM,L,88,94,94.5,101.0,93.1,.138,.375,.519,40.2,51.5,6.4,6.3,,.488,14.2,7.3,.125,,.408,9.8,66.7,.207
56,53,53,2015-02-09,@,MIN,W,117,105,127.1,114.1,92.0,.233,.244,.617,41.9,59.1,15.2,7.8,,.570,9.5,27.0,.221,,.478,13.5,53.1,.172
57,54,54,2015-02-11,@,BOS,L,88,89,95.0,96.1,92.6,.295,.372,.499,44.0,69.7,6.5,8.1,,.468,12.0,11.1,.192,,.376,8.9,70.9,.204
58,55,55,2015-02-20,,TOR,L,80,105,82.6,108.4,96.9,.239,.432,.411,50.0,65.5,6.2,12.1,,.375,18.5,31.5,.159,,.516,11.6,70.0,.063
59,56,56,2015-02-22,@,MIL,W,97,86,102.4,90.8,94.7,.241,.345,.504,53.1,65.7,10.6,12.5,,.454,17.2,34.8,.207,,.472,23.1,77.1,.250
60,57,57,2015-02-25,,DAL,W,104,87,116.8,97.7,89.0,.188,.412,.565,48.2,71.8,7.9,4.1,,.535,10.7,24.4,.153,,.456,14.6,70.5,.175
61,58,58,2015-02-27,,ORL,W,95,88,104.6,96.9,90.8,.148,.383,.551,51.2,75.0,12.1,9.3,,.531,17.3,26.8,.111,,.506,16.5,75.6,.088
62,59,59,2015-02-28,@,MIA,W,93,91,97.4,95.3,95.5,.253,.316,.530,44.0,67.6,12.6,9.1,,.494,17.0,19.5,.190,,.438,20.3,67.4,.247
63,60,60,2015-03-03,,HOU,W,104,96,106.6,98.4,97.6,.244,.337,.546,54.4,59.0,3.1,12.2,,.500,13.6,21.4,.209,,.511,11.3,83.3,.044
64,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
65,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
66,61,61,2015-03-06,,CLE,W,106,97,119.3,109.2,88.9,.202,.250,.579,50.7,62.8,11.3,12.9,,.548,11.6,28.9,.167,,.514,16.9,73.0,.377
67,62,62,2015-03-07,@,PHI,L,84,92,86.5,94.8,97.1,.208,.325,.500,43.3,66.7,8.2,15.5,,.461,18.4,11.6,.169,,.437,13.5,68.5,.095
68,63,63,2015-03-09,,SAC,W,130,105,145.0,117.1,89.7,.080,.409,.714,45.2,79.2,8.9,9.8,,.716,12.5,29.4,.045,,.531,15.1,59.0,.235
69,64,64,2015-03-11,@,DEN,L,102,115,104.2,117.4,97.9,.333,.333,.549,42.1,52.9,11.2,5.7,,.475,15.5,19.5,.309,,.577,17.0,68.6,.214
70,65,65,2015-03-13,@,PHO,W,96,87,105.3,95.5,91.1,.145,.217,.544,45.8,56.4,12.1,11.5,,.518,11.1,17.1,.120,,.474,17.1,73.8,.167
71,66,66,2015-03-15,@,LAL,W,91,86,101.8,96.2,89.4,.355,.303,.518,38.6,73.5,10.1,9.0,,.480,10.2,16.7,.237,,.441,18.7,58.7,.129
72,67,67,2015-03-16,@,SAC,W,110,103,110.8,103.8,99.3,.357,.369,.566,46.4,65.8,11.1,8.2,,.524,11.0,20.0,.262,,.512,17.9,76.9,.247
73,68,68,2015-03-18,@,GSW,L,95,114,97.6,117.1,97.3,.345,.253,.474,50.0,77.4,14.4,7.4,,.402,13.0,30.6,.287,,.607,16.2,74.4,.143
74,69,69,2015-03-20,@,OKC,L,115,123,121.0,129.4,95.0,.305,.354,.618,43.6,48.8,9.5,7.4,,.579,10.6,17.1,.244,,.589,11.2,73.0,.286
75,70,70,2015-03-22,,SAS,L,95,114,101.6,121.9,93.5,.088,.300,.572,40.3,65.8,13.9,3.1,,.550,17.8,15.4,.088,,.604,15.2,69.7,.183
76,71,71,2015-03-25,@,ORL,W,95,83,103.4,90.4,91.8,.111,.344,.503,51.7,53.8,9.8,12.9,,.489,12.1,27.3,.078,,.429,16.4,76.7,.205
