,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
6380,75,75,2017-03-30,@,POR,L,107,117,107.7,117.8,99.3,.253,.374,.529,50.6,45.0,9.1,5.3,,.484,15.1,30.2,.209,,.550,10.7,72.5,.200
6381,76,76,2017-03-31,@,GSW,L,98,107,106.5,116.2,92.1,.253,.407,.485,52.7,58.8,6.5,4.8,,.440,11.4,37.5,.198,,.511,9.0,69.8,.105
6382,77,77,2017-04-02,@,PHO,W,123,116,111.9,105.6,109.9,.230,.380,.558,43.0,48.9,7.3,6.1,,.540,12.0,25.0,.150,,.460,16.9,60.0,.240
6383,78,78,2017-04-05,,DEN,W,110,104,102.1,96.5,107.7,.437,.391,.530,52.3,51.4,6.5,4.5,,.483,13.4,22.0,.299,,.428,9.7,78.9,.144
6384,79,79,2017-04-07,,DET,L,109,114,109.9,115.0,99.2,.322,.586,.549,47.1,69.4,3.0,7.3,,.506,10.0,19.6,.241,,.468,5.0,69.0,.120
6385,80,80,2017-04-09,@,SAC,W,135,128,131.1,124.3,103.0,.388,.538,.721,51.9,57.8,2.9,3.2,,.675,14.6,13.9,.338,,.548,4.5,83.7,.266
6386,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6387,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6388,81,81,2017-04-10,@,LAC,L,96,125,97.4,126.8,98.6,.321,.476,.501,45.6,69.7,5.1,4.6,,.446,13.5,19.6,.250,,.560,8.0,72.7,.253
6389,82,82,2017-04-12,,MIN,W,123,118,122.8,117.8,100.2,.227,.577,.576,49.0,82.2,11.0,10.3,,.562,8.6,29.1,.144,,.588,13.3,75.6,.121
6390,1,1,2016-10-26,,DAL,W,130,121,113.7,105.8,103.6,.366,.204,.602,51.5,63.8,9.6,10.7,,.559,12.9,17.0,.280,,.519,11.8,81.5,.125
6391,2,2,2016-10-28,@,BRK,L,94,103,94.1,103.2,99.8,.204,.245,.440,48.5,59.5,7.0,11.1,,.413,10.9,25.9,.133,,.494,14.3,74.5,.195
6392,3,3,2016-10-29,@,CHI,L,101,118,108.1,126.3,93.4,.102,.205,.549,41.3,79.1,8.6,10.8,,.528,12.4,19.0,.091,,.576,11.2,65.8,.221
6393,4,4,2016-11-01,,LAL,W,115,108,111.7,104.9,102.9,.333,.322,.576,49.4,46.3,9.7,13.1,,.529,13.1,25.0,.264,,.483,16.0,74.4,.247
6394,5,5,2016-11-03,@,MIL,L,107,125,106.8,124.8,100.2,.333,.284,.576,43.8,76.3,14.0,7.3,,.531,18.4,25.6,.259,,.646,18.5,64.7,.232
6395,6,6,2016-11-05,,CHI,W,111,94,122.1,103.4,90.9,.140,.302,.608,47.4,58.7,8.8,14.8,,.605,10.8,22.9,.081,,.468,15.1,68.3,.253
6396,7,7,2016-11-07,@,CHO,L,100,122,95.6,116.6,104.6,.160,.351,.497,54.7,57.5,7.6,7.7,,.473,15.2,23.1,.117,,.560,10.1,93.0,.333
6397,8,8,2016-11-09,,PHI,W,122,115,113.7,107.2,97.1,.222,.211,.617,50.0,51.0,8.4,10.2,,.594,13.9,17.5,.167,,.558,14.1,78.3,.095
6398,9,9,2016-11-11,@,PHI,L,105,109,100.6,104.4,94.5,.261,.216,.535,42.6,59.0,13.4,5.6,,.472,11.7,8.9,.250,,.483,16.0,73.5,.302
6399,10,10,2016-11-12,,BOS,L,99,105,106.3,112.7,93.1,.326,.314,.503,46.0,47.2,9.7,16.4,,.453,11.7,25.6,.244,,.488,12.1,65.9,.338
6400,11,11,2016-11-14,,ORL,W,88,69,94.0,73.7,93.6,.111,.278,.466,48.5,62.9,9.6,15.3,,.433,8.7,14.0,.111,,.351,13.5,82.4,.119
6401,12,12,2016-11-16,,CLE,W,103,93,106.1,95.8,97.1,.128,.326,.567,44.0,51.2,8.2,21.4,,.558,9.9,11.1,.081,,.471,16.0,76.1,.140
6402,13,13,2016-11-18,,PHO,L,96,116,102.8,124.3,93.3,.382,.092,.541,43.2,50.0,5.4,11.3,,.480,16.9,26.3,.303,,.521,9.5,58.1,.155
6403,14,14,2016-11-20,@,OKC,W,115,111,105.7,102.0,98.5,.348,.247,.560,51.0,57.5,11.9,3.1,,.511,17.7,30.6,.270,,.485,15.5,70.6,.129
6404,15,15,2016-11-21,,GSW,L,83,120,82.3,118.9,100.9,.117,.223,.383,45.0,39.4,5.0,7.4,,.350,9.2,23.8,.107,,.517,10.3,73.9,.300
6405,16,16,2016-11-23,,ATL,L,85,96,87.0,98.3,97.6,.167,.321,.471,39.8,47.1,15.4,7.7,,.446,16.6,15.2,.119,,.453,18.2,63.8,.224
6406,17,17,2016-11-25,,BRK,W,118,97,120.5,99.0,98.0,.184,.299,.627,55.3,52.1,11.2,11.1,,.615,13.0,23.7,.126,,.525,17.6,80.9,.177
6407,18,18,2016-11-27,,LAC,W,91,70,97.7,75.1,93.2,.076,.207,.479,56.5,65.0,8.6,8.7,,.462,12.0,27.7,.065,,.343,19.6,86.7,.314
6408,19,19,2016-11-30,@,POR,L,109,131,115.9,139.3,94.1,.486,.194,.624,44.4,52.8,3.2,6.5,,.542,14.6,13.3,.431,,.606,5.5,66.7,.181
6409,20,20,2016-12-04,@,LAC,W,111,102,115.3,106.0,96.2,.443,.177,.588,41.4,53.8,9.4,3.9,,.525,8.7,12.5,.354,,.506,17.6,66.0,.247
6410,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6411,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6412,21,21,2016-12-05,@,GSW,L,106,142,101.0,135.3,105.0,.412,.176,.528,42.6,57.1,9.5,7.5,,.429,12.2,19.1,.388,,.587,8.7,66.0,.192
6413,22,22,2016-12-07,@,PHO,W,109,94,109.0,94.0,100.0,.526,.295,.567,55.1,45.7,11.0,5.8,,.494,15.8,27.9,.410,,.453,17.0,80.4,.200
6414,23,23,2016-12-09,@,DAL,L,103,111,114.8,123.7,89.7,.377,.362,.640,53.5,65.6,5.6,8.3,,.565,13.9,12.5,.362,,.581,8.1,87.2,.225
6415,24,24,2016-12-10,,POR,W,118,111,123.6,116.2,95.5,.337,.349,.619,48.8,60.0,11.5,20.0,,.572,12.0,23.8,.277,,.585,16.0,76.3,.183
6416,25,25,2016-12-12,,CHO,W,110,94,112.6,96.2,97.7,.114,.409,.595,47.7,55.8,4.1,19.0,,.585,10.6,11.9,.080,,.393,11.7,80.4,.333
6417,26,26,2016-12-14,@,MIA,L,89,95,94.2,100.6,94.5,.191,.303,.461,39.6,42.4,8.5,8.8,,.421,7.7,12.0,.157,,.494,13.9,69.6,.171
6418,27,27,2016-12-15,@,NOP,L,95,102,94.2,101.1,100.9,.276,.241,.487,45.5,63.9,5.9,6.9,,.431,11.0,13.7,.230,,.482,14.1,78.0,.235
6419,28,28,2016-12-17,@,DET,W,105,90,115.7,99.2,90.7,.301,.229,.559,56.0,50.0,6.6,5.6,,.518,8.7,23.1,.229,,.440,7.9,80.8,.190
6420,29,29,2016-12-19,,WAS,W,107,105,108.4,106.4,98.7,.241,.241,.556,45.6,43.9,6.1,9.1,,.511,13.5,20.5,.207,,.477,13.1,69.6,.239
6421,30,30,2016-12-20,@,NYK,L,111,118,107.4,114.2,103.4,.363,.253,.526,49.4,56.4,9.7,7.7,,.462,7.9,21.2,.297,,.574,12.6,89.2,.193
6422,31,31,2016-12-22,,BOS,L,102,109,99.1,105.9,102.9,.354,.280,.538,53.2,57.1,4.9,5.7,,.470,16.7,18.6,.305,,.467,8.8,82.4,.250
6423,32,32,2016-12-26,@,CHI,L,85,90,95.2,100.8,89.3,.123,.309,.498,45.5,76.5,5.6,8.6,,.475,15.8,22.0,.099,,.422,12.0,66.0,.241
6424,33,33,2016-12-28,@,WAS,L,105,111,108.0,114.2,97.2,.367,.354,.572,38.6,68.6,10.3,7.1,,.513,12.4,11.4,.304,,.538,16.0,65.9,.346
6425,34,34,2016-12-30,,CHI,W,111,101,117.9,107.2,94.2,.370,.235,.589,47.2,66.7,7.4,9.8,,.525,10.5,20.0,.321,,.452,11.7,69.4,.298
6426,35,35,2017-01-01,,ORL,W,117,104,119.1,105.8,98.3,.279,.256,.606,52.3,65.1,5.1,8.5,,.552,10.2,20.0,.256,,.485,8.9,79.2,.103
6427,36,36,2017-01-03,@,DET,W,121,116,131.9,126.4,91.8,.405,.216,.694,44.7,60.5,7.6,10.3,,.642,11.2,18.8,.351,,.546,8.9,63.6,.103
6428,37,37,2017-01-05,,BRK,W,121,109,122.3,110.2,98.9,.204,.237,.597,49.4,47.9,7.1,17.3,,.570,5.6,15.9,.161,,.550,12.0,82.2,.111
6429,38,38,2017-01-07,,NYK,W,123,109,117.8,104.4,104.4,.326,.279,.626,62.4,58.1,10.5,0.0,,.564,16.2,31.6,.302,,.529,14.8,87.2,.195
6430,39,39,2017-01-12,@,DEN,L,112,140,111.2,139.0,100.7,.138,.309,.562,42.0,59.1,8.9,6.9,,.532,13.8,25.5,.128,,.661,13.0,64.7,.233
6431,40,40,2017-01-16,,NOP,W,98,95,101.5,98.4,96.6,.198,.235,.557,54.2,63.4,11.4,10.3,,.537,15.4,14.3,.136,,.494,13.3,83.3,.157
6432,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6433,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6434,41,41,2017-01-18,@,SAC,W,106,100,116.4,109.8,91.0,.333,.280,.616,47.1,56.4,12.1,5.9,,.567,14.0,23.5,.280,,.549,20.0,70.6,.292
6435,42,42,2017-01-20,@,LAL,L,95,108,95.3,108.4,99.7,.313,.288,.522,42.0,70.6,17.1,11.1,,.481,18.0,18.6,.225,,.552,19.7,64.4,.138
6436,43,43,2017-01-21,@,UTA,L,100,109,102.8,112.0,97.3,.221,.260,.592,46.2,43.6,10.3,5.0,,.571,15.9,11.1,.156,,.500,12.5,76.2,.298
6437,44,44,2017-01-23,,NYK,L,103,109,105.4,111.5,97.8,.291,.302,.531,46.3,47.4,7.2,7.4,,.483,10.2,15.9,.233,,.513,13.3,83.3,.408
6438,45,45,2017-01-26,@,MIN,W,109,103,112.0,105.8,97.3,.210,.222,.616,56.4,50.0,7.2,7.4,,.580,16.9,17.6,.185,,.506,10.6,86.4,.259
6439,46,46,2017-01-27,,SAC,W,115,111,124.1,119.7,84.0,.423,.359,.621,40.3,50.0,15.1,8.9,,.551,9.8,17.5,.372,,.593,18.1,68.8,.400
6440,47,47,2017-01-29,,HOU,W,120,101,123.2,103.7,97.4,.299,.241,.610,50.6,59.6,9.2,15.9,,.569,9.2,18.9,.241,,.476,13.8,76.1,.265
6441,48,48,2017-02-01,@,ORL,W,98,88,106.4,95.6,92.1,.377,.290,.609,52.1,75.8,5.4,1.9,,.543,17.4,15.2,.333,,.442,13.6,82.5,.260
6442,49,49,2017-02-03,@,BRK,W,106,97,105.0,96.1,101.0,.360,.233,.532,52.7,54.1,10.9,17.2,,.477,12.3,25.5,.279,,.436,16.5,80.4,.256
6443,50,50,2017-02-04,,DET,W,105,84,110.7,88.6,94.8,.165,.264,.538,48.8,50.0,11.6,6.9,,.522,5.8,16.7,.110,,.453,20.0,81.0,.213
6444,51,51,2017-02-06,,OKC,W,93,90,102.9,99.5,90.4,.333,.299,.466,37.8,57.6,7.7,16.7,,.425,9.1,24.1,.218,,.426,14.1,54.5,.170
6445,52,52,2017-02-08,,CLE,L,117,132,120.2,135.6,97.3,.317,.305,.626,49.4,58.5,7.2,4.2,,.579,11.4,17.1,.268,,.643,8.6,86.1,.286
6446,53,53,2017-02-10,@,WAS,L,107,112,111.0,116.2,96.4,.163,.228,.543,47.7,64.4,3.1,8.5,,.511,10.0,23.8,.141,,.523,9.8,69.6,.227
6447,54,54,2017-02-11,,MIL,L,100,116,115.9,134.4,86.3,.329,.301,.598,49.3,54.3,2.3,14.3,,.548,14.4,21.6,.274,,.596,6.3,77.8,.397
6448,55,55,2017-02-13,,SAS,L,106,110,111.7,115.9,94.9,.385,.256,.581,43.0,55.3,8.4,4.2,,.545,10.8,14.0,.269,,.500,10.0,72.1,.264
6449,56,56,2017-02-15,@,CLE,L,104,113,118.8,129.1,87.5,.163,.279,.564,51.8,75.0,2.3,2.3,,.535,10.7,29.5,.140,,.585,8.1,76.9,.207
6450,57,57,2017-02-16,,WAS,L,98,111,107.5,121.8,91.1,.225,.225,.557,47.3,52.5,7.7,1.9,,.525,11.1,13.9,.175,,.608,10.0,78.9,.120
6451,58,58,2017-02-24,,MEM,W,102,92,112.3,101.3,90.8,.141,.333,.616,56.2,57.5,8.8,12.3,,.583,16.2,22.9,.141,,.470,10.5,77.8,.155
6452,59,59,2017-02-25,@,MIA,L,95,113,100.2,119.2,94.8,.306,.141,.493,50.0,61.8,8.4,8.5,,.424,13.5,28.9,.271,,.571,14.9,73.2,.308
6453,60,60,2017-02-27,@,HOU,W,117,108,116.9,107.9,100.0,.275,.330,.574,58.5,70.7,7.0,11.6,,.522,12.8,32.5,.242,,.420,8.6,77.8,.386
6454,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6455,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6456,61,61,2017-03-01,@,SAS,L,99,100,105.3,106.4,94.0,.309,.284,.538,53.2,59.5,13.8,2.2,,.500,15.6,30.2,.222,,.534,17.6,82.4,.284
6457,62,62,2017-03-05,@,ATL,W,97,96,105.5,104.4,92.0,.269,.423,.556,50.0,68.6,6.5,8.0,,.545,14.7,21.4,.154,,.500,13.4,76.1,.247
6458,63,63,2017-03-06,@,CHO,L,88,100,97.6,111.0,90.1,.037,.370,.534,45.1,78.4,3.3,9.1,,.531,15.4,14.0,.025,,.471,9.5,72.9,.221
6459,64,64,2017-03-08,,DET,W,115,98,123.5,105.2,93.1,.216,.261,.597,50.5,61.4,3.2,3.2,,.563,4.9,20.9,.182,,.478,9.2,77.1,.146
6460,65,65,2017-03-10,@,MIL,L,85,99,92.9,108.2,91.5,.293,.240,.502,51.4,45.5,15.3,6.4,,.453,17.5,21.6,.227,,.570,20.6,84.8,.406
6461,66,66,2017-03-12,,MIA,W,102,98,113.7,109.2,89.7,.390,.183,.531,46.0,34.3,2.2,6.5,,.457,8.6,23.9,.329,,.463,7.3,64.8,.117
6462,67,67,2017-03-14,@,NYK,L,81,87,87.6,94.1,92.5,.172,.333,.433,50.5,50.0,6.5,5.5,,.414,14.6,25.5,.103,,.476,13.6,78.0,.096
6463,68,68,2017-03-15,,CHO,W,98,77,109.8,86.3,89.2,.123,.384,.637,58.3,66.7,9.0,10.5,,.616,15.4,10.0,.110,,.419,10.4,92.9,.125
6464,69,69,2017-03-19,@,TOR,L,91,116,96.4,122.9,94.4,.325,.288,.498,39.3,66.7,7.4,3.1,,.450,12.4,19.6,.238,,.560,14.0,63.2,.154
6465,70,70,2017-03-20,,UTA,W,107,100,116.8,109.1,91.6,.264,.230,.551,46.7,55.3,9.8,14.3,,.494,6.7,21.7,.241,,.489,9.4,71.7,.159
6466,71,71,2017-03-22,@,BOS,L,100,109,109.4,119.2,91.4,.218,.322,.524,51.1,52.6,14.2,10.5,,.500,12.0,35.3,.149,,.577,15.1,73.0,.143
6467,72,72,2017-03-24,,DEN,L,117,125,118.0,126.1,99.2,.116,.253,.586,46.4,39.6,9.1,14.5,,.574,10.7,24.4,.084,,.518,11.4,71.8,.488
6468,73,73,2017-03-26,,PHI,W,107,94,109.8,96.4,97.5,.326,.191,.526,51.5,42.1,9.2,8.5,,.466,8.1,23.1,.270,,.477,12.9,83.0,.114
6469,74,74,2017-03-28,,MIN,L,114,115,120.7,121.7,94.5,.432,.222,.591,51.4,62.5,8.5,8.6,,.525,12.7,31.4,.358,,.532,12.9,70.3,.410
6470,75,75,2017-03-29,@,MEM,L,97,110,106.9,121.2,90.7,.176,.294,.529,50.0,51.4,5.5,12.5,,.494,11.6,26.1,.153,,.534,7.7,77.5,.182
6471,76,76,2017-03-31,@,TOR,L,100,111,106.2,117.9,94.1,.241,.299,.520,44.2,52.8,7.4,7.3,,.477,11.9,24.5,.195,,.537,12.6,65.2,.280
6472,77,77,2017-04-02,@,CLE,L,130,135,121.7,126.4,88.4,.190,.390,.571,45.1,66.7,5.6,5.8,,.533,7.3,22.6,.171,,.589,10.6,69.4,.242
6473,78,78,2017-04-04,,TOR,W,108,90,116.9,97.4,92.4,.202,.281,.557,51.8,41.0,7.6,7.5,,.506,10.2,22.7,.202,,.480,13.4,84.6,.224
6474,79,79,2017-04-06,,MIL,W,104,89,113.4,97.1,91.7,.325,.313,.569,57.9,52.6,16.4,6.4,,.525,14.9,31.6,.250,,.542,21.4,84.2,.169
6475,80,80,2017-04-08,@,ORL,W,127,112,124.7,110.0,101.9,.221,.256,.673,57.7,68.6,5.9,7.4,,.657,13.7,17.1,.163,,.571,12.2,90.7,.190
6476,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6477,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6478,81,81,2017-04-10,@,PHI,W,120,111,128.0,118.4,93.8,.247,.188,.637,57.1,61.2,9.6,11.9,,.606,12.9,37.8,.200,,.553,16.9,75.0,.373
6479,82,82,2017-04-12,,ATL,W,104,86,116.5,96.4,89.2,.232,.293,.575,52.6,53.8,5.6,16.3,,.537,10.0,21.6,.195,,.493,18.3,80.5,.208
6480,1,1,2016-10-27,@,POR,W,114,106,113.1,105.2,100.8,.505,.319,.512,50.0,32.4,9.9,6.0,,.451,5.9,27.8,.352,,.482,12.4,78.6,.282
6481,2,2,2016-10-30,,UTA,W,88,75,99.1,84.4,88.8,.241,.325,.479,53.3,50.0,9.0,7.4,,.446,12.4,28.0,.169,,.445,18.6,83.3,.137
6482,3,3,2016-10-31,,PHO,W,116,98,109.7,92.7,105.7,.475,.200,.600,50.0,52.5,7.6,5.8,,.538,14.2,12.8,.375,,.446,17.0,79.6,.274
6483,4,4,2016-11-02,,OKC,L,83,85,81.9,83.9,101.3,.207,.253,.437,44.1,64.7,12.8,7.8,,.431,15.2,16.0,.092,,.435,18.5,76.7,.143
6484,5,5,2016-11-04,@,MEM,W,99,88,103.5,92.0,95.7,.388,.318,.497,49.5,59.4,17.8,10.3,,.424,10.0,23.9,.318,,.423,16.1,73.5,.202
6485,6,6,2016-11-05,@,SAS,W,116,92,123.9,98.2,93.7,.154,.253,.597,50.6,51.1,8.5,12.2,,.566,7.6,17.5,.143,,.473,15.0,82.9,.297
6486,7,7,2016-11-07,,DET,W,114,82,123.5,88.9,92.3,.289,.329,.665,54.1,68.3,8.7,10.0,,.625,10.5,6.7,.250,,.390,10.5,80.0,.220
6487,8,8,2016-11-09,,POR,W,111,80,118.6,85.5,93.6,.379,.368,.547,53.9,63.2,9.6,12.1,,.500,6.5,28.0,.276,,.386,12.9,78.8,.136
6488,9,9,2016-11-11,@,OKC,W,110,108,110.8,108.7,99.3,.407,.314,.542,50.0,46.2,9.1,5.0,,.517,9.0,23.4,.244,,.523,14.2,79.1,.182
6489,10,10,2016-11-12,@,MIN,W,119,105,126.4,111.5,94.2,.487,.316,.645,51.9,62.5,7.4,6.0,,.599,13.2,27.3,.368,,.494,11.7,68.8,.191
6490,11,11,2016-11-14,,BRK,W,127,95,129.8,97.1,97.8,.233,.278,.640,53.8,66.7,17.4,13.6,,.611,10.0,24.3,.189,,.506,19.5,79.1,.221
6491,12,12,2016-11-16,,MEM,L,107,111,114.4,118.7,93.5,.420,.309,.558,44.9,40.5,13.9,12.5,,.512,7.7,19.0,.296,,.579,14.2,75.0,.195
6492,13,13,2016-11-18,@,SAC,W,121,115,120.7,114.7,100.2,.447,.382,.665,50.0,67.5,7.0,10.0,,.612,13.3,15.2,.368,,.500,12.1,78.0,.337
6493,14,14,2016-11-19,,CHI,W,102,95,121.5,113.1,84.0,.299,.351,.585,48.1,55.6,7.1,4.3,,.539,13.0,29.7,.247,,.487,12.1,64.3,.260
6494,15,15,2016-11-21,,TOR,W,123,115,124.4,116.3,98.9,.568,.338,.665,56.8,59.0,5.1,6.6,,.595,13.1,17.6,.473,,.550,10.5,90.0,.338
6495,16,16,2016-11-23,@,DAL,W,124,104,126.3,105.9,98.2,.365,.376,.629,49.4,60.5,11.2,6.7,,.594,8.4,15.0,.271,,.518,14.8,78.7,.202
6496,17,17,2016-11-25,@,DET,L,97,108,106.3,118.4,91.2,.356,.288,.574,44.0,74.3,4.4,7.0,,.527,14.2,15.4,.274,,.572,9.7,75.0,.056
6497,18,18,2016-11-27,@,IND,L,70,91,75.1,97.7,93.2,.386,.343,.427,43.5,50.0,9.7,5.5,,.343,19.6,13.3,.314,,.462,12.0,72.3,.065
6498,19,19,2016-11-29,@,BRK,L,122,127,101.4,105.5,99.6,.202,.367,.514,50.9,45.7,8.3,4.5,,.482,10.6,19.3,.156,,.495,9.8,84.9,.231
6499,20,20,2016-12-01,@,CLE,W,113,94,119.3,99.2,94.7,.270,.348,.567,56.6,78.6,7.4,6.7,,.545,9.9,31.8,.180,,.471,17.3,84.6,.420
6500,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
6501,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
6502,21,21,2016-12-02,@,NOP,W,114,96,124.1,104.5,91.9,.182,.273,.600,54.0,60.0,6.5,10.8,,.568,8.7,28.6,.159,,.488,10.5,77.8,.153
6503,22,22,2016-12-04,,IND,L,102,111,106.0,115.3,96.2,.346,.370,.547,58.6,52.8,5.2,10.8,,.506,17.6,34.0,.247,,.525,8.7,87.5,.354
6504,23,23,2016-12-07,,GSW,L,98,115,102.7,120.5,95.4,.261,.283,.478,50.5,41.7,3.1,3.4,,.435,11.2,33.3,.196,,.511,8.9,71.4,.270
6505,24,24,2016-12-10,,NOP,W,133,105,135.3,106.8,98.3,.096,.383,.679,54.1,63.0,10.2,3.1,,.665,9.3,25.7,.085,,.530,14.5,79.5,.205
6506,25,25,2016-12-12,,POR,W,121,120,125.5,124.4,96.4,.315,.258,.597,47.5,61.9,9.3,12.1,,.534,10.6,31.0,.292,,.563,13.3,65.8,.253
6507,26,26,2016-12-14,@,ORL,W,113,108,123.0,117.5,91.9,.500,.338,.626,51.9,56.8,6.5,8.9,,.588,10.9,20.6,.351,,.551,7.6,74.5,.112
6508,27,27,2016-12-16,@,MIA,W,102,98,106.0,101.8,96.2,.349,.301,.533,51.5,47.2,1.0,4.5,,.476,9.5,15.9,.277,,.441,3.7,81.1,.172
6509,28,28,2016-12-18,@,WAS,L,110,117,113.4,120.6,97.0,.276,.276,.564,54.8,65.1,7.2,1.6,,.534,13.3,33.3,.195,,.593,13.7,75.7,.259
6510,29,29,2016-12-20,,DEN,W,119,102,125.3,107.4,95.0,.151,.419,.649,44.6,68.1,7.4,3.9,,.640,11.6,13.9,.105,,.494,10.8,68.1,.144
6511,30,30,2016-12-22,,SAS,W,106,101,111.1,105.8,95.4,.265,.337,.572,42.1,46.2,8.4,8.2,,.536,11.5,14.0,.205,,.435,10.4,65.4,.228
6512,31,31,2016-12-23,,DAL,L,88,90,97.5,99.7,90.3,.149,.392,.558,49.4,50.0,10.0,6.9,,.547,20.2,17.6,.095,,.466,11.4,71.4,.103
6513,32,32,2016-12-25,@,LAL,L,102,111,105.8,115.2,96.4,.259,.341,.539,46.7,64.9,9.3,8.5,,.494,13.7,22.2,.212,,.524,11.8,71.1,.274
6514,33,33,2016-12-26,,DEN,L,102,106,105.3,109.4,96.9,.238,.298,.550,42.7,56.4,6.2,11.8,,.518,10.6,9.1,.179,,.506,12.9,75.6,.280
6515,34,34,2016-12-28,@,NOP,L,98,102,104.7,109.0,93.6,.191,.394,.481,56.3,40.5,6.4,6.9,,.452,9.7,30.2,.138,,.517,5.9,84.0,.138
6516,35,35,2016-12-30,@,HOU,L,116,140,112.5,135.8,103.1,.167,.344,.563,45.8,48.9,7.8,9.8,,.536,12.7,23.4,.135,,.642,11.5,75.0,.444
6517,36,36,2016-12-31,@,OKC,L,88,114,96.3,124.8,91.4,.280,.400,.522,46.3,45.2,4.4,8.2,,.467,15.1,16.3,.240,,.538,8.8,79.5,.385
6518,37,37,2017-01-02,,PHO,W,109,98,108.2,97.3,100.7,.475,.200,.563,51.5,45.9,1.0,12.6,,.506,16.4,29.3,.350,,.392,9.7,67.2,.176
6519,38,38,2017-01-04,,MEM,W,115,106,121.1,111.6,95.0,.616,.315,.620,51.1,62.2,5.3,8.3,,.568,12.3,20.5,.438,,.494,8.3,75.5,.216
6520,39,39,2017-01-06,@,SAC,W,106,98,117.5,108.6,90.2,.250,.369,.568,47.4,71.8,6.6,8.8,,.542,7.9,17.4,.179,,.466,5.8,75.5,.195
6521,40,40,2017-01-08,,MIA,W,98,86,101.8,89.3,96.3,.291,.349,.505,50.5,75.0,8.3,5.3,,.471,10.2,18.8,.198,,.411,13.9,79.2,.202
6522,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
